ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  290000         0.0000         0.0000         0.0000         0.0000          -5619.6470       410.7382         0.0000         0.0000       907.0027          -4301.9061       288.1468     -5208.9089     -4298.6182       298.8603            205.8183       228.4245     22685.2080      -225.8652      -225.9078
ENERGY:  295000         0.0000         0.0000         0.0000         0.0000          -5684.4200       429.4801         0.0000         0.0000       975.6201          -4279.3197       309.9460     -5254.9399     -4277.2508       298.6476            -22.5544        -9.5395     22647.2489      -175.9537      -176.0379
ENERGY:  300000         0.0000         0.0000         0.0000         0.0000          -5590.6335       374.1635         0.0000         0.0000       945.3237          -4271.1463       300.3210     -5216.4700     -4268.7527       303.9648            -80.4630       -56.7732     22537.0719      -175.7385      -175.8180
ENERGY:  305000         0.0000         0.0000         0.0000         0.0000          -5600.7702       379.4503         0.0000         0.0000       895.5482          -4325.7717       284.5078     -5221.3199     -4323.9394       294.7472           -320.2101      -299.2815     22466.4021      -167.9795      -168.0803
ENERGY:  310000         0.0000         0.0000         0.0000         0.0000          -5563.7460       372.9179         0.0000         0.0000       902.9792          -4287.8489       286.8686     -5190.8281     -4285.3332       294.3945           -136.2196      -115.3729     22426.5055      -184.7372      -184.7387
ENERGY:  315000         0.0000         0.0000         0.0000         0.0000          -5508.7321       363.2718         0.0000         0.0000       970.5726          -4174.8877       308.3424     -5145.4603     -4172.9959       303.6572            -72.1252       -45.4536     22475.0645      -205.5119      -205.3289
ENERGY:  320000         0.0000         0.0000         0.0000         0.0000          -5606.7990       393.5220         0.0000         0.0000       954.0739          -4259.2032       303.1009     -5213.2770     -4256.2518       299.7072           -155.8374      -148.1740     22519.0893      -229.3355      -229.6106
ENERGY:  325000         0.0000         0.0000         0.0000         0.0000          -5554.5632       338.6041         0.0000         0.0000       950.3918          -4265.5674       301.9311     -5215.9592     -4263.2436       302.3842           -422.6523      -404.6540     22363.8713      -246.9296      -246.8646
ENERGY:  330000         0.0000         0.0000         0.0000         0.0000          -5664.0804       414.6355         0.0000         0.0000       958.6496          -4290.7952       304.5546     -5249.4448     -4288.6791       292.8234            186.0517       215.3335     22505.0074      -262.9996      -262.9566
ENERGY:  335000         0.0000         0.0000         0.0000         0.0000          -5620.6984       375.1855         0.0000         0.0000       924.1496          -4321.3633       293.5942     -5245.5129     -4319.6244       296.6442           -297.0998      -270.1728     22576.9599      -198.8192      -198.7534
ENERGY:  340000         0.0000         0.0000         0.0000         0.0000          -5630.5092       353.8321         0.0000         0.0000       911.0811          -4365.5960       289.4425     -5276.6771     -4364.5974       297.3682           -895.2369      -848.4929     22422.3831      -208.8914      -208.8715
ENERGY:  345000         0.0000         0.0000         0.0000         0.0000          -5596.6425       380.4907         0.0000         0.0000       972.7895          -4243.3623       309.0467     -5216.1518     -4240.8996       298.5239           -336.4607      -311.1225     22523.2271      -125.8772      -125.9280
ENERGY:  350000         0.0000         0.0000         0.0000         0.0000          -5635.4806       392.5045         0.0000         0.0000       921.7113          -4321.2648       292.8196     -5242.9761     -4319.0783       296.7733           -170.7979      -147.8029     22418.3137      -220.9045      -220.9373
ENERGY:  355000         0.0000         0.0000         0.0000         0.0000          -5578.9578       424.0224         0.0000         0.0000       921.6358          -4233.2995       292.7956     -5154.9353     -4231.1814       303.6366            362.3837       377.8743     22565.3721      -216.8403      -216.9252
ENERGY:  360000         0.0000         0.0000         0.0000         0.0000          -5567.5644       378.6841         0.0000         0.0000       940.7783          -4248.1020       298.8770     -5188.8803     -4244.8213       301.5941           -535.7049      -521.6040     23179.0049      -131.7409      -131.6127
ENERGY:  365000         0.0000         0.0000         0.0000         0.0000          -5559.0643       386.3735         0.0000         0.0000       940.2033          -4232.4874       298.6943     -5172.6908     -4230.1010       300.1616           -121.4994      -102.5291     22605.7572      -233.3219      -233.3386
ENERGY:  370000         0.0000         0.0000         0.0000         0.0000          -5527.6593       337.9427         0.0000         0.0000       951.3881          -4238.3285       302.2477     -5189.7166     -4235.1493       299.7280           -959.9875      -943.2135     22690.5596      -247.4303      -247.5551
ENERGY:  375000         0.0000         0.0000         0.0000         0.0000          -5576.3791       335.1033         0.0000         0.0000       965.5133          -4275.7625       306.7351     -5241.2758     -4274.5692       301.8354           -855.4394      -845.8599     22551.6468      -231.6616      -231.5639
ENERGY:  380000         0.0000         0.0000         0.0000         0.0000          -5630.5044       403.5287         0.0000         0.0000       950.3973          -4276.5783       301.9329     -5226.9757     -4273.4010       303.9108            158.3723       181.2665     22624.5944      -147.5347      -147.5216
ENERGY:  385000         0.0000         0.0000         0.0000         0.0000          -5623.9245       409.0620         0.0000         0.0000       951.1291          -4263.7334       302.1653     -5214.8625     -4262.4384       297.1247            -86.3606       -60.7759     22845.2584      -259.1065      -259.0489
